Type,Lon,Lat,Altitude,Nb personnes,Boire,Cuisiner,Hygiene,Lessive,Commentaire,demand_l_day,is_household,is_reservoir,required_head_m,gravity_possible,pump_required
Menage,-11.44120101871307,10.99410794659744,355,6.0,12.0,24.0,54.0,12.0,,102.0,True,False,359,True,False
Menage,-11.44296707106045,10.99185022939355,350,4.0,8.0,16.0,40.0,12.0,,76.0,True,False,354,True,False
Menage,-11.44519607503611,10.99000278543766,350,8.0,24.0,40.0,32.0,16.0,,112.0,True,False,354,True,False
Menage,-11.44468371331708,10.99094738046254,350,4.0,8.0,12.0,16.0,8.0,,44.0,True,False,354,True,False
Menage,-11.43737382362212,10.99870399223374,364,10.0,40.0,50.0,40.0,20.0,,150.0,True,False,368,True,False
Menage,-11.43431767562809,10.99844625227464,368,7.0,28.0,28.0,56.0,35.0,,147.0,True,False,372,True,False
Menage,-11.43677999968198,10.99837118862423,365,5.0,10.0,15.0,35.0,15.0,,75.0,True,False,369,True,False
Menage,-11.43513612640319,11.00035116645008,364,3.0,12.0,12.0,24.0,9.0,,57.0,True,False,368,True,False
Menage,-11.43428078549045,10.99873454612296,368,8.0,16.0,24.0,56.0,24.0,,120.0,True,False,372,True,False
Menage,-11.44089714967718,11.00080125914049,355,7.0,28.0,21.0,56.0,21.0,A exprimé un souhait pour de l'irrigation avec un champ d'arachide de 0.05 ha,126.0,True,False,359,True,False
Menage,-11.43443511568128,10.99815113642784,369,7.0,14.0,21.0,63.0,21.0,,119.0,True,False,373,True,False
Menage,-11.43783875443825,11.00025311303415,361,4.0,16.0,12.0,24.0,8.0,,60.0,True,False,365,True,False
Menage,-11.43778241163635,10.99917357266807,362,6.0,18.0,18.0,48.0,24.0,,108.0,True,False,366,True,False
Menage,-11.43654839360985,11.00143180391899,360,4.0,8.0,12.0,36.0,8.0,,64.0,True,False,364,True,False
Menage,-11.43818346392769,11.00119674353328,359,8.0,24.0,32.0,40.0,24.0,,120.0,True,False,363,True,False
Menage,-11.43987326361172,11.00313808677069,353,7.0,28.0,21.0,42.0,14.0,,105.0,True,False,357,True,False
Menage,-11.43791596538581,10.99846173005535,363,5.0,15.0,15.0,40.0,20.0,,90.0,True,False,367,True,False
Menage,-11.43769320906308,11.00186565027921,358,4.0,12.0,20.0,40.0,8.0,,80.0,True,False,362,True,False
Menage,-11.43862162836726,10.99886624382835,361,5.0,20.0,15.0,20.0,15.0,,70.0,True,False,365,True,False
Menage,-11.43718013742443,10.99751102733302,365,5.0,15.0,25.0,25.0,20.0,,85.0,True,False,369,True,False
Menage,-11.43976888441778,11.00084045812399,357,7.0,21.0,28.0,35.0,35.0,,119.0,True,False,361,True,False
Menage,-11.43591740134794,10.99595077325595,368,7.0,28.0,21.0,63.0,21.0,,133.0,True,False,372,True,False
Menage,-11.43974794080402,10.99973245744025,358,8.0,24.0,40.0,40.0,32.0,,136.0,True,False,362,True,False
Menage,-11.43814872485492,11.00159548051704,358,6.0,24.0,30.0,36.0,24.0,,114.0,True,False,362,True,False
Menage,-11.43631182249014,10.99860807908912,366,4.0,12.0,16.0,32.0,20.0,,80.0,True,False,370,True,False
Menage,-11.43797660203313,11.00163164211419,358,7.0,28.0,21.0,56.0,14.0,,119.0,True,False,362,True,False
Menage,-11.44023995996023,10.99940893443375,357,7.0,28.0,21.0,70.0,14.0,,133.0,True,False,361,True,False
Menage,-11.43666258011374,10.99852648494369,365,6.0,18.0,30.0,24.0,18.0,,90.0,True,False,369,True,False
Menage,-11.44045867093914,10.99814578004417,358,7.0,21.0,21.0,63.0,35.0,,140.0,True,False,362,True,False
Menage,-11.43798883048386,10.99896157321647,362,6.0,18.0,30.0,24.0,12.0,,84.0,True,False,366,True,False
Menage,-11.43611437262321,10.99760086801049,367,6.0,12.0,18.0,30.0,30.0,,90.0,True,False,371,True,False
Menage,-11.43816794742469,10.99832611683187,363,6.0,12.0,30.0,60.0,12.0,,114.0,True,False,367,True,False
Menage,-11.42542261545198,11.00192026619324,350,3.0,6.0,9.0,12.0,12.0,,39.0,True,False,354,True,False
Menage,-11.42209807548389,11.00008895282899,350,4.0,16.0,16.0,24.0,8.0,,64.0,True,False,354,True,False
Menage,-11.42454548496083,10.99986637598648,350,3.0,9.0,9.0,24.0,15.0,,57.0,True,False,354,True,False
Menage,-11.4220566879401,10.99951768371199,350,7.0,28.0,21.0,35.0,28.0,,112.0,True,False,354,True,False
Menage,-11.42535156910058,11.00064357679203,351,5.0,10.0,20.0,50.0,20.0,,100.0,True,False,355,True,False
Menage,-11.4258006739923,11.00132970658036,351,6.0,18.0,18.0,24.0,24.0,,84.0,True,False,355,True,False
Menage,-11.42014178145095,11.00318990055754,350,9.0,36.0,36.0,81.0,45.0,,198.0,True,False,354,True,False
Menage,-11.42166474024996,11.00200059840028,350,5.0,15.0,15.0,30.0,15.0,,75.0,True,False,354,True,False
Menage,-11.4215038595449,11.0032536735566,350,6.0,24.0,30.0,36.0,18.0,,108.0,True,False,354,True,False
Menage,-11.42030113825371,11.00111412202494,350,7.0,21.0,35.0,28.0,21.0,,105.0,True,False,354,True,False
Menage,-11.42138226995492,10.99989236708798,350,5.0,10.0,15.0,40.0,25.0,,90.0,True,False,354,True,False
Menage,-11.42001254682385,11.00131436011864,350,4.0,8.0,12.0,16.0,16.0,,52.0,True,False,354,True,False
Menage,-11.42276785888566,11.00409559050731,350,5.0,15.0,15.0,25.0,15.0,,70.0,True,False,354,True,False
Menage,-11.42288059470769,11.00082316949203,350,5.0,20.0,25.0,20.0,25.0,,90.0,True,False,354,True,False
Menage,-11.42060993970116,11.00180502290109,350,9.0,18.0,27.0,54.0,27.0,,126.0,True,False,354,True,False
Menage,-11.41988641685981,11.00194111347562,350,8.0,16.0,40.0,80.0,16.0,,152.0,True,False,354,True,False
Menage,-11.42200278727315,11.00122463251648,350,7.0,14.0,28.0,28.0,21.0,,91.0,True,False,354,True,False
Menage,-11.42270629664889,11.00179608913209,350,8.0,24.0,40.0,64.0,24.0,,152.0,True,False,354,True,False
Menage,-11.42217587130586,11.00156868174093,350,8.0,24.0,40.0,80.0,32.0,,176.0,True,False,354,True,False
Menage,-11.42300318897033,11.0030252430893,350,5.0,20.0,20.0,45.0,25.0,,110.0,True,False,354,True,False
Menage,-11.42434327016276,10.99865428790823,350,8.0,32.0,40.0,56.0,32.0,,160.0,True,False,354,True,False
Menage,-11.42393037835807,11.00271883100275,350,6.0,24.0,18.0,24.0,24.0,,90.0,True,False,354,True,False
Menage,-11.42525464852904,11.00183474112672,350,8.0,24.0,24.0,64.0,32.0,,144.0,True,False,354,True,False
Menage,-11.42371399087628,11.00107086005066,350,8.0,24.0,40.0,80.0,32.0,,176.0,True,False,354,True,False
MenageI,-11.42337171552841,11.00442468870768,350,5.0,20.0,15.0,40.0,20.0,A exprimé un souhait pour de l'irrigation avec un champ de mil de 0.02 ha,95.0,True,False,354,True,False
Menage,-11.42291314608164,11.00358535695501,350,4.0,16.0,20.0,36.0,12.0,,84.0,True,False,354,True,False
Menage,-11.42121769470154,11.00294551270879,350,5.0,15.0,15.0,30.0,20.0,,80.0,True,False,354,True,False
Menage,-11.42415416620454,11.00017471121079,350,6.0,24.0,18.0,48.0,24.0,,114.0,True,False,354,True,False
Menage,-11.42465258133279,11.00066511570495,350,8.0,16.0,40.0,80.0,40.0,,176.0,True,False,354,True,False
Menage,-11.42319868044886,10.99976377820465,350,8.0,24.0,24.0,64.0,16.0,,128.0,True,False,354,True,False
Menage,-11.42145849801524,11.00011721929015,350,3.0,12.0,15.0,24.0,9.0,,60.0,True,False,354,True,False
Menage,-11.43436965006394,10.98618847362859,356,6.0,18.0,18.0,48.0,18.0,,102.0,True,False,360,True,False
Menage,-11.43007304427451,10.98951887111127,354,6.0,12.0,18.0,30.0,18.0,,78.0,True,False,358,True,False
Menage,-11.43553530232279,10.98681171407542,354,5.0,15.0,20.0,25.0,20.0,,80.0,True,False,358,True,False
Menage,-11.43394571712937,10.98539479972697,358,4.0,12.0,16.0,24.0,16.0,,68.0,True,False,362,True,False
Menage,-11.4342649264245,10.98555815638938,358,5.0,15.0,25.0,20.0,20.0,,80.0,True,False,362,True,False
Menage,-11.43696589966085,10.98499640893247,358,9.0,27.0,36.0,72.0,45.0,,180.0,True,False,362,True,False
Menage,-11.43296579143827,10.98642022167146,355,5.0,10.0,25.0,45.0,10.0,,90.0,True,False,359,True,False
Menage,-11.43310339354722,10.98610015482958,356,6.0,18.0,24.0,24.0,24.0,,90.0,True,False,360,True,False
Menage,-11.43712449954409,10.98676759819725,353,7.0,21.0,21.0,63.0,14.0,,119.0,True,False,357,True,False
Menage,-11.43513422390373,10.98308181980863,365,6.0,24.0,30.0,24.0,30.0,,108.0,True,False,369,True,False
Menage,-11.43457972790514,10.98701872859362,354,10.0,30.0,50.0,60.0,30.0,,170.0,True,False,358,True,False
Menage,-11.43663503309601,10.98462496838926,359,10.0,40.0,30.0,80.0,40.0,,190.0,True,False,363,True,False
Menage,-11.43550139877512,10.98792626823877,353,5.0,10.0,25.0,40.0,10.0,,85.0,True,False,357,True,False
Menage,-11.43430888338453,10.98552395609359,358,6.0,12.0,30.0,42.0,12.0,,96.0,True,False,362,True,False
Menage,-11.4377814932471,10.98582614165423,354,5.0,10.0,20.0,45.0,20.0,,95.0,True,False,358,True,False
Menage,-11.43628451579706,10.98814643235423,353,5.0,10.0,25.0,20.0,15.0,,70.0,True,False,357,True,False
Menage,-11.43438053154597,10.99162681185114,361,3.0,12.0,9.0,12.0,9.0,,42.0,True,False,365,True,False
Menage,-11.43525398859558,10.98725574965057,353,7.0,21.0,28.0,35.0,21.0,,105.0,True,False,357,True,False
Menage,-11.43419497461162,10.98842284952916,354,6.0,12.0,24.0,42.0,30.0,,108.0,True,False,358,True,False
Menage,-11.43394551123268,10.98590011233666,357,4.0,12.0,12.0,40.0,8.0,,72.0,True,False,361,True,False
Menage,-11.43501928755477,10.98521508780206,359,5.0,20.0,15.0,50.0,10.0,,95.0,True,False,363,True,False
Menage,-11.43434120960754,10.98527944106093,359,9.0,36.0,36.0,45.0,18.0,,135.0,True,False,363,True,False
Menage,-11.43514099498665,10.98668344717493,354,5.0,20.0,25.0,25.0,25.0,,95.0,True,False,358,True,False
Menage,-11.43152156673966,10.98343186565307,362,4.0,8.0,16.0,20.0,8.0,,52.0,True,False,366,True,False
Menage,-11.43329235868062,10.98524200073187,359,6.0,18.0,18.0,54.0,30.0,,120.0,True,False,363,True,False
Menage,-11.43483500733348,10.98457616667983,361,10.0,30.0,40.0,90.0,30.0,,190.0,True,False,365,True,False
Menage,-11.43381243346213,10.9880617961086,353,5.0,15.0,15.0,30.0,20.0,,80.0,True,False,357,True,False
Menage,-11.43547651640756,10.9885498941998,354,7.0,28.0,28.0,42.0,14.0,,112.0,True,False,358,True,False
Menage,-11.43395209794702,10.99076372733477,359,7.0,14.0,35.0,35.0,14.0,,98.0,True,False,363,True,False
Menage,-11.43300614828814,10.98356325760036,363,5.0,20.0,20.0,35.0,15.0,,90.0,True,False,367,True,False
Menage,-11.43430090819249,10.98780172688548,353,7.0,28.0,28.0,28.0,28.0,,112.0,True,False,357,True,False
Menage,-11.4398652219013,10.99847268491344,359,7.0,21.0,21.0,56.0,21.0,,119.0,True,False,363,True,False
Menage,-11.43700212057053,10.98710355432113,352,6.0,12.0,24.0,54.0,18.0,,108.0,True,False,356,True,False
Menage,-11.43378259068214,10.98699075949683,354,8.0,16.0,24.0,48.0,40.0,,128.0,True,False,358,True,False
MenageI,-11.44229567204903,10.99767856240711,354,5.0,15.0,15.0,20.0,25.0,A exprimé un souhait pour de l'irrigation avec un champ de maïs de 0.02 ha,75.0,True,False,358,True,False
